頻道,日期,影片ID,標題,影片長度,觀看人數,網址
ctitv,20190327,JbMoYy1HIO0,許淑淨涉禁藥WADA要求繳回世錦賽銀牌,109,909,https://youtu.be/JbMoYy1HIO0
ctitv,20190327,uWjT-WVleug,賣水果變賣台？　國安局長：韓國瑜看不到機密,94,237173,https://youtu.be/uWjT-WVleug
ctitv,20190327,bB0P2_HvJ-g,不選2020？　韓國瑜神回：老鼠偷拖鞋、大的在後面,118,2215,https://youtu.be/bB0P2_HvJ-g
ctitv,20190327,UHN_NnrTZNc,抓寶抓到「小寶寶」　驚見女嬰裝箱　找到媽了！,113,457,https://youtu.be/UHN_NnrTZNc
ctitv,20190327,txe1MVNV1aQ,韓流效益！　廈航招募空服員　100名額給高雄,75,40118,https://youtu.be/txe1MVNV1aQ
ctitv,20190327,soVoB5pfWB8,警方夜襲！破獲「假餐廳真賭場」查扣賭金112萬,74,304,https://youtu.be/soVoB5pfWB8
ctitv,20190327,fRLUys_fX_E,陳致中控涉「外患罪」　韓：怎不去自首「外遇罪」,179,61926,https://youtu.be/fRLUys_fX_E
ctitv,20190327,KXCb0SPXCg4,侯友宜親視察　海砂屋4月拆除等都更,61,443,https://youtu.be/KXCb0SPXCg4
ctitv,20190327,5JdoKMGKf_U,絕版高粱價2400元　陸客：詐欺　業者：有告知,94,2030,https://youtu.be/5JdoKMGKf_U
ctitv,20190327,ZDceRxs8GEA,新北動保LINE@　領養、救援、醫療一把抓,59,671,https://youtu.be/ZDceRxs8GEA
ctitv,20190327,wmR_pxTwU64,頭髮不多收獲不少！央視點評「韓流」登陸,88,84403,https://youtu.be/wmR_pxTwU64
ctitv,20190327,cOPTrAsW0XA,陸國台辦：四城市與高雄逾10.6億人民幣訂單,104,25179,https://youtu.be/cOPTrAsW0XA
ctitv,20190327,Bi9-L1puIww,獨！同車要共責！餐廳外行動酒測機、聚餐設桌長,112,1140,https://youtu.be/Bi9-L1puIww
ctitv,20190327,0yb60ntYT3s,就業市場韓流發威！　業主徵才「歡迎北漂青年」,98,37535,https://youtu.be/0yb60ntYT3s
ctitv,20190327,zUGUuoJ8-K8,台商座談變粉絲會　選舉礦泉水列廈大展示櫃,95,40251,https://youtu.be/zUGUuoJ8-K8
ctitv,20190327,N5-3JvOIHBw,韓國瑜拚招商！工總將加碼投資高雄逾800億,86,26438,https://youtu.be/N5-3JvOIHBw
ctitv,20190327,BmpNskzpTew,暗夜出擊！　破獲假餐廳真賭博　賭資100多萬,61,661,https://youtu.be/BmpNskzpTew
ctitv,20190327,e1ivThTN2HM,姊妹探視病嬤　捲聯結車輪下　20歲姊命危,71,455,https://youtu.be/e1ivThTN2HM
ctitv,20190327,VSjhAiAcHc8,Q版韓市長湯圓　製作費時費工　1天限量20顆,68,12519,https://youtu.be/VSjhAiAcHc8
ctitv,20190327,yqipmJYFIZA,酒駕累犯得裝酒精鎖！　「酒測防弊力」大揭密,106,272,https://youtu.be/yqipmJYFIZA
ctitv,20190327,JtIVKL3o7Pg,絕版高粱價2400元　陸客：詐欺　業者：有告知,87,1007,https://youtu.be/JtIVKL3o7Pg
ctitv,20190327,9lAHHltZ0a0,必吃美食「海蠣煎」　廈門燒肉粽創億元商機,154,9447,https://youtu.be/9lAHHltZ0a0
ctitv,20190327,IBfWjqH74yQ,遭爆被大鑽戒套牢！　郭碧婷情定「龍五」兒當少奶,99,7973,https://youtu.be/IBfWjqH74yQ
ctitv,20190327,LRmw-lDDi9Q,邀陸「雙冰」代言？　韓：高雄已有白冰冰、韓冰,76,30719,https://youtu.be/LRmw-lDDi9Q
ctitv,20190327,ucZWOwV5A2I,愛美不要「命」　新人挑大馬路上拍婚紗,85,663,https://youtu.be/ucZWOwV5A2I
ctitv,20190327,Lm4jayVpdZk,騎士直行「打滑」慘摔　回頭看滿地鐵釘,72,759,https://youtu.be/Lm4jayVpdZk
ctitv,20190327,C3iJC2ar_tY,貨櫃車撞貨櫃車！3轎車遭波及　2人送醫,50,211,https://youtu.be/C3iJC2ar_tY
ctitv,20190327,yJwHOSQoclc,貼身採訪韓國瑜　外媒女記者大讚市長貼心,103,271741,https://youtu.be/yJwHOSQoclc
ctitv,20190327,cAUySncTdTc,訂單破52億　韓成績單還有「高深、雙港論壇」,98,11430,https://youtu.be/cAUySncTdTc
ctitv,20190327,UJn5yuDzhGQ,詐騙被戳破飆國罵　警嗆：教戰手冊沒有寫嗎,87,1050,https://youtu.be/UJn5yuDzhGQ
ctitv,20190327,wcywIgo4PvY,法籍人夫與台女　酒後鬧超商踹凹車,107,1149,https://youtu.be/wcywIgo4PvY
ctitv,20190327,nMspupT_LSY,「怎麼會有小孩」　女嬰臍帶未剪裝紙箱遺棄,81,520,https://youtu.be/nMspupT_LSY
ctitv,20190327,oNSqcU8RT_Y,不選2020？　韓國瑜神回：老鼠偷拖鞋、大的在後面,97,43900,https://youtu.be/oNSqcU8RT_Y
ctitv,20190327,Ks3QYJCoDUU,疑搶快未等綠燈左轉　騎士連人帶車噴飛亡,89,704,https://youtu.be/Ks3QYJCoDUU
ctitv,20190327,TPMmU4xOT4s,陸委會擬開鍘韓國瑜　高思博：淪綠朝錦衣衛,98,60117,https://youtu.be/TPMmU4xOT4s
ctitv,20190327,36BY8oP-8Ws,韓國瑜登陸　陸委會擬開罰五十萬　將修韓國瑜條款,124,23399,https://youtu.be/36BY8oP-8Ws
ctitv,20190327,0PncM35QGSg,23歲親弟驚爆輕生　孟耿如堅強哀慟處理後事,105,3609,https://youtu.be/0PncM35QGSg
ctitv,20190327,_UUWDo0dA3A,不滿行程遭延宕　600旅客霸船連署求償,105,1839,https://youtu.be/_UUWDo0dA3A
ctitv,20190327,DXwAAV1eTiE,陸媒直擊！　假名牌包批發商　網紅批貨月賺百萬,94,1343,https://youtu.be/DXwAAV1eTiE
ctitv,20190327,v4EpEZCzuMY,韓國瑜廈門訪南普陀寺　方丈親贈「心安事隆」,96,80421,https://youtu.be/v4EpEZCzuMY
ctitv,20190327,rvD9MPM7NpI,「敗選者聯盟」再添一人！魏明谷接任台水董座,96,4675,https://youtu.be/rvD9MPM7NpI
ctitv,20190327,xbONTliBMDo,不滿遊輪行程延誤　旅客今早霸船抗議,74,2863,https://youtu.be/xbONTliBMDo
ctitv,20190327,yJRzY3DF12k,選不選2020？　韓：老鼠偷拖鞋、大的在後面,89,31793,https://youtu.be/yJRzY3DF12k
ctitv,20190327,yVD6KBM9GuI,買二手超跑眉角多　簽定型化契約須留心,137,438,https://youtu.be/yVD6KBM9GuI
ctitv,20190327,7W55SmEOuxA,「戀鞋怪男」闖民宅！　著女裝、嗅女鞋還帶走,114,495,https://youtu.be/7W55SmEOuxA
ctitv,20190327,yoShErq2u6M,台中檢警暗夜出擊　破獲主題餐廳賭博案,64,1415,https://youtu.be/yoShErq2u6M
ctitv,20190327,hq_SFEWXxwk,電動自行車超速擬開罰1200　改裝廠罰1.2萬,64,748,https://youtu.be/hq_SFEWXxwk
ctitv,20190327,osZYf-bzUAk,法籍男喝茫鬧超商　揮拳攻擊店員、踹凹車,82,397,https://youtu.be/osZYf-bzUAk
ctitv,20190327,oFidFWDGjAA,與婚攝好友鬧翻　本土女星「訂婚照」沒了,112,1097,https://youtu.be/oFidFWDGjAA
ctitv,20190327,ii9uqaNU95Y,蔡要罰50萬關五年？　謝龍介：乾脆解除韓市長職務,97,68028,https://youtu.be/ii9uqaNU95Y
ctitv,20190327,w7TtsNQCt8Y,貨車自撞護欄翻車起火　國道一度嚴重回堵,84,328,https://youtu.be/w7TtsNQCt8Y
ctitv,20190327,WshLCnnJXoc,韓國瑜拚經濟　6270公斤鳳梨直送深圳　半小時搶光,91,52662,https://youtu.be/WshLCnnJXoc
ctitv,20190327,MGxN-mmN35o,「痞子英雄」導演蔡岳勳　遭爆欠2300萬挨告,87,699,https://youtu.be/MGxN-mmN35o
ctitv,20190327,DV9VjYEEa88,國小狼師疑性侵女童2年　教育局：若屬實人神共憤,89,695,https://youtu.be/DV9VjYEEa88
ctitv,20190327,sxRQFa9u3qM,「把錢吐出來」　欠錢不還高職生遭惡煞尋仇,87,1031,https://youtu.be/sxRQFa9u3qM
ctitv,20190327,WsnAn4uK2z8,柚農補助款沒下文？　農委會：去年10/2已撥付,96,9227,https://youtu.be/WsnAn4uK2z8
ctitv,20190327,mIlacIeJz6E,韓流襲陸！陸媒關注台媒報導方向、各界觀感,77,41615,https://youtu.be/mIlacIeJz6E
ctitv,20190327,kJA4_0UJ2ik,咖啡廳遇怪男！　一家三口喝飲料險被揍,73,873,https://youtu.be/kJA4_0UJ2ik
ctitv,20190327,6iKsjS2o4_A,驚！路邊紙箱竟藏女嬰　警追查棄嬰生母,67,418,https://youtu.be/6iKsjS2o4_A
ctitv,20190327,6fMFnjS0S9o,韓國瑜廈門再簽9億農產　賣菜郎登陸搶52億訂單！,104,26865,https://youtu.be/6fMFnjS0S9o
ctitv,20190327,2CqKmQZUyPM,徵召韓國瑜被拱選市長？　李佳芬：輪我洗衣服,89,64075,https://youtu.be/2CqKmQZUyPM
ctitv,20190327,mzhIHnF5g-g,韓赴中聯辦　高議員爆：葉匡時早知會陳明通,116,25761,https://youtu.be/mzhIHnF5g-g
ctitv,20190326,bJIEUwJdYws,正面迎戰綠營挑釁　韓國瑜四關鍵字全提,132,38716,https://youtu.be/bJIEUwJdYws
ctitv,20190326,OYMjbOLUp2g,五股海砂屋陽台墜　險砸居民「命撿到！」,61,3451,https://youtu.be/OYMjbOLUp2g
ctitv,20190326,ikDpPgGuNzo,【氣象】明天起中午暖　早出晚歸騎車保暖,130,614,https://youtu.be/ikDpPgGuNzo
ctitv,20190326,_Bj5CTRt_4A,韓國瑜訪廈門　會面市委書記胡昌升、市長莊稼漢,108,36337,https://youtu.be/_Bj5CTRt_4A
ctitv,20190326,k1N_14q7MMI,南普陀寺贈「心安事隆」　祝韓國瑜事業經濟旺,155,78055,https://youtu.be/k1N_14q7MMI
ctitv,20190326,8lBX7YuT37s,廈大台師生揚名國際　韓國瑜明慕名取經,158,52971,https://youtu.be/8lBX7YuT37s
ctitv,20190326,mLsOn1x0rws,擬對韓開罰50萬？　政府強加賣台帽子？,166,1759,https://youtu.be/mLsOn1x0rws
ctitv,20190326,qfavQ9HF_qY,童心未泯！　韓國瑜「大族激光」PK機器人玩球,104,34128,https://youtu.be/qfavQ9HF_qY
ctitv,20190326,FNGGbIfYSNs,「韓流」橫掃網路　社群發專屬鑰匙圈「實名認證」韓粉,93,26277,https://youtu.be/FNGGbIfYSNs
